gvkey,datadate,fyear,ni,at,dltt,sic,ceoann,gender,becameceo_year,female_ceo,board_size,nationality_mix,gender_ratio,roa,ln_assets,leverage,ceo_tenure,sic1,sp1500
001010,2002-12-31,2002,79.7,3702.5,1771.7,3743,,,,,,,,0.021525995948683322,8.216763546141953,0.4785145172180959,,3,
001010,2002-12-31,2002,58.5,4129.4,1983.5,3743,,,,,,,,0.01416670702765535,8.325887396950778,0.4803361263137502,,3,
001010,2003-12-31,2003,352.5,4832.1,1674.7,3743,,,,,,,,0.07294964922083566,8.483036434764744,0.34657809234080417,,3,
001010,2003-12-31,2003,352.5,4832.1,1674.7,3743,,,,,,,,0.07294964922083566,8.483036434764744,0.34657809234080417,,3,
001013,2000-10-31,2000,868.1,3970.5,16.5,3661,,FEMALE,,1,,,,0.21863745120261932,8.286647310335265,0.00415564790328674,,3,1.0
001013,2001-10-31,2001,-1287.7,2499.7,3.0,3661,,FEMALE,,1,,,,-0.5151418170180422,7.823926003655717,0.001200144017282074,,3,1.0
001013,2002-10-31,2002,-1145.0,1144.2,10.8,3661,,FEMALE,,1,,,,-1.0006991784653032,7.042460981834429,0.009438909281594127,,3,1.0
001013,2002-10-31,2002,,,,3661,,FEMALE,,1,,,,,,,,3,1.0
001013,2003-10-31,2003,-76.7,1296.9,400.0,3661,,FEMALE,,1,,,,-0.05914102860667746,7.167732080341696,0.30842778934381987,,3,1.0
001013,2004-10-31,2004,16.4,1428.1,400.0,3661,,FEMALE,,1,,,,0.011483789650584693,7.264100168458888,0.2800924305020657,,3,
001013,2004-10-31,2004,,1428.1,400.0,3661,,FEMALE,,1,,,,,7.264100168458888,0.2800924305020657,,3,
001013,2005-10-31,2005,110.7,1535.0,400.0,3661,,FEMALE,,1,,,,0.07211726384364821,7.336285660021298,0.26058631921824105,,3,
001013,2005-10-31,2005,,1537.2,400.0,3661,,FEMALE,,1,,,,,7.337717858690689,0.2602133749674733,,3,
001013,2006-10-31,2006,65.7,1611.4,400.0,3661,CEO,MALE,2003-08-01,0,,,,0.0407719995035373,7.384858645343096,0.24823135161970955,3.0,3,
001013,2006-10-31,2006,65.7,1611.4,400.0,3661,CEO,MALE,2003-08-01,0,,,,0.0407719995035373,7.384858645343096,0.24823135161970955,3.0,3,
001013,2007-10-31,2007,106.3,1764.8,200.6,3661,,FEMALE,,1,,,,0.06023345421577516,7.475792648499238,0.1136672710788758,,3,
001013,2007-10-31,2007,106.3,1764.8,200.6,3661,,FEMALE,,1,,,,0.06023345421577516,7.475792648499238,0.1136672710788758,,3,
001013,2008-10-31,2008,-41.9,1921.0,650.7,3661,,FEMALE,,1,,,,-0.02181155648099948,7.560601162768557,0.3387298282144717,,3,
001013,2008-10-31,2008,-41.9,1921.0,650.7,3661,,FEMALE,,1,,,,-0.02181155648099948,7.560601162768557,0.3387298282144717,,3,
001013,2009-09-30,2009,-474.3,1343.6,651.0,3661,,FEMALE,,1,,,,-0.35300684727597503,7.2031078577381376,0.48451920214349514,,3,
001013,2009-09-30,2009,,1343.6,651.0,3661,,FEMALE,,1,,,,,7.2031078577381376,0.48451920214349514,,3,
001013,2010-09-30,2010,62.0,1474.5,650.8,3661,,FEMALE,,1,,,,0.0420481519159037,7.29607422825533,0.4413699559172601,,3,
001013,2010-09-30,2010,62.0,1474.5,650.8,3661,,FEMALE,,1,,,,0.0420481519159037,7.29607422825533,0.4413699559172601,,3,
001019,2000-12-31,2000,1.762,28.638,1.12,7380,,,,,,,,0.06152664292199175,3.3547345072518144,0.039108876318178644,,7,
001019,2001-12-31,2001,1.29,30.836,0.582,7380,,,,,,,,0.041834219743157354,3.4286828385970156,0.018874043325982616,,7,
001019,2002-12-31,2002,,,,7380,,,,,,,,,,,,7,
001019,2003-12-31,2003,,,,7380,,,,,,,,,,,,7,
001019,2004-12-31,2004,,,,7380,,,,,,,,,,,,7,
001019,2004-12-31,2004,,,,7380,,,,,,,,,,,,7,
001019,2005-12-31,2005,,,,7380,,,,,,,,,,,,7,
001019,2005-12-31,2005,,,,7380,,,,,,,,,,,,7,
001019,2006-12-31,2006,,,,7380,,,,,,,,,,,,7,
001019,2006-12-31,2006,,,,7380,,,,,,,,,,,,7,
001019,2007-12-31,2007,1.624,34.18,5.816,7380,,,,,,,,0.04751316559391457,3.531640677687445,0.17015798712697483,,7,
001019,2007-12-31,2007,,,,7380,,,,,,,,,,,,7,
001019,2008-12-31,2008,2.577,33.486,4.187,7380,,,,,,,,0.07695753449202652,3.5111274410343514,0.12503732903302875,,7,
001019,2008-12-31,2008,,,,7380,,,,,,,,,,,,7,
001019,2009-12-31,2009,2.155,32.678,3.245,7380,,,,,,,,0.06594650835424444,3.486702068608632,0.09930228288144931,,7,
001019,2009-12-31,2009,,,,7380,,,,,,,,,,,,7,
001019,2010-12-31,2010,0.997,29.546,7.295,7380,,,,,,,,0.0337439924186015,3.3859483708994165,0.2469031340959859,,7,
001019,2010-12-31,2010,,,,7380,,,,,,,,,,,,7,
001021,2000-06-30,2000,-0.808,11.608,4.875,3844,,,,,,,,-0.06960716747070986,2.451694515581887,0.4199689869055823,,3,
001021,2000-06-30,2000,-0.808,11.608,2.483,3844,,,,,,,,-0.06960716747070986,2.451694515581887,0.21390420399724328,,3,
001021,2001-06-30,2001,-1.738,8.635,3.873,3844,,,,,,,,-0.20127388535031848,2.155823711598642,0.4485234510712218,,3,
001021,2001-06-30,2001,-1.738,8.635,2.359,3844,,,,,,,,-0.20127388535031848,2.155823711598642,0.2731905037637522,,3,
001021,2002-06-30,2002,0.084,7.85,2.546,3844,,,,,,,,0.01070063694267516,2.060513531794317,0.3243312101910828,,3,
001021,2002-06-30,2002,0.084,7.85,1.181,3844,,,,,,,,0.01070063694267516,2.060513531794317,0.15044585987261147,,3,
001021,2003-06-30,2003,-1.515,6.044,0.631,3844,,,,,,,,-0.25066181336863,1.7990660444104931,0.10440105890138981,,3,
001021,2003-06-30,2003,-1.515,6.044,0.631,3844,,,,,,,,-0.25066181336863,1.7990660444104931,0.10440105890138981,,3,
001021,2004-06-30,2004,1.345,6.245,0.222,3844,,,,,,,,0.2153722978382706,1.831781143577541,0.0355484387510008,,3,
001021,2004-06-30,2004,1.345,6.245,0.222,3844,,,,,,,,0.2153722978382706,1.831781143577541,0.0355484387510008,,3,
001021,2005-06-30,2005,1.9,8.153,0.0,3844,,,,,,,,0.23304305163743405,2.0983859576807737,0.0,,3,
001021,2005-06-30,2005,1.9,8.153,0.0,3844,,,,,,,,0.23304305163743405,2.0983859576807737,0.0,,3,
001021,2006-06-30,2006,1.005,14.341,0.0,3844,,,,,,,,0.07007879506310577,2.663122567747075,0.0,,3,
001021,2006-06-30,2006,1.005,14.341,0.0,3844,,,,,,,,0.07007879506310577,2.663122567747075,0.0,,3,
001021,2007-06-30,2007,-4.673,27.171,5.822,3844,,,,,,,,-0.17198483677450224,3.302150228060921,0.2142725700195061,,3,
